J,21-50.0'N,158-08.8'W
P,20-46.4'N,157-48.7'W
R,21-27.5'N,158-16.9'W
S,21-23.8'N,158-14.8'W
T,21-30.2'N,157-25.8'W
U,21-34.9'N,157-41.5'W
V,21-32.3'N,158-18.8'W
X,21-51.8'N,157-59.6'W
CO,21-33.7'N,158-26.8'W
HH,21-02.1'N,158-02.1'W
II,21-44.8'N,158-13.3'W
LL,21-44.9'N,157-45.3'W
MM,21-36.4'N,157-31.2'W
BO,21-09.0'N,158-09.1'W
